step,fish,sharks
1360,18290,11171
1361,18500,11241
1362,18878,11193
1363,19333,11299
1364,19285,11292
1365,19666,11252
1366,18814,11321
1367,18092,11426
1368,17125,11269
1369,16366,11327
1370,15679,11312
1371,15996,11300
1372,16392,11318
1373,17040,11185
1374,17092,11098
1375,17199,11191
1376,16721,11163
1377,16179,11042
1378,15473,11099
1379,14841,10927
1380,14192,10958
1381,14763,10814
1382,15376,10776
1383,16070,10673
1384,16115,10649
1385,16187,10702
1386,15810,10576
1387,15317,10543
1388,14599,10435
1389,14054,10380
1390,13384,10433
1391,13976,10313
1392,14596,10326
1393,15212,10216
1394,15341,10210
1395,15428,10169
1396,14958,10058
1397,14535,10103
1398,13883,10061
1399,13388,9971
1400,12655,9925
1401,13369,9800
1402,13961,9780
1403,14364,9732
1404,14538,9685
1405,14582,9659
1406,14156,9626
1407,13860,9513
1408,13159,9488
1409,12562,9411
1410,12160,9333
1411,12710,9281
1412,13495,9306
1413,13928,9091
1414,14078,9061
1415,14145,9014
1416,13909,8981
1417,13625,8935
1418,13107,8903
1419,12447,8859
1420,12031,8741
1421,12519,8703
1422,13274,8654
1423,13942,8567
1424,14237,8472
1425,14289,8498
1426,14006,8443
1427,13936,8431
1428,13561,8335
1429,13085,8227
1430,12611,8116
1431,13367,8067
1432,14174,8041
1433,14933,8049
1434,15225,7973
1435,15347,7925
1436,15215,7943
1437,15027,7847
1438,14754,7867
1439,14173,7838
1440,13609,7832
1441,14424,7714
1442,15282,7745
1443,16046,7683
1444,16367,7638
1445,16522,7719
1446,16428,7703
1447,16322,7593
1448,15840,7620
1449,15514,7504
1450,14979,7434
1451,15715,7583
1452,16697,7417
1453,17275,7437
1454,17791,7420
1455,17863,7396
1456,17806,7310
1457,17942,7355
1458,17459,7336
1459,17113,7376
1460,16623,7316
1461,17387,7250
1462,18244,7370
1463,18904,7363
1464,19370,7304
1465,19574,7322
1466,19272,7355
1467,19391,7398
1468,18944,7342
1469,18378,7418
1470,17934,7368
1471,18610,7471
1472,19303,7544
1473,19974,7523
1474,20343,7599
1475,20468,7619
1476,20295,7666
1477,20419,7705
1478,19880,7834
1479,19257,7847
1480,18642,7772
1481,19110,7785
1482,19895,7827
1483,20445,7947
1484,20868,7923
1485,21084,8035
1486,20975,8114
1487,20828,8097
1488,20388,8150
1489,19770,8178
1490,19114,8193
1491,19422,8291
1492,20133,8259
1493,20956,8403
1494,21359,8437
1495,21642,8451
1496,21296,8483
1497,21263,8551
1498,20777,8506
1499,20085,8668
1500,19430,8615
1501,19967,8664
1502,20550,8688
1503,21356,8724
1504,22007,8794
1505,22320,8828
1506,21944,8805
1507,21653,8958
1508,21250,8892
1509,20502,8894
1510,19913,8894
1511,20317,8873
1512,21055,8991
1513,21846,9052
1514,22675,9167
1515,23065,9234
1516,22627,9204
1517,22347,9182
1518,21653,9286
1519,20987,9381
1520,20244,9436
1521,20722,9385
1522,21276,9442
1523,22330,9492
1524,23206,9560
1525,23435,9476
1526,23078,9682
1527,22496,9763
1528,21569,9814
1529,20860,9878
1530,20179,9883
1531,20464,9887
1532,21147,9898
1533,22020,9900
1534,22830,10059
1535,22924,10137
1536,22402,10124
1537,21940,10145
1538,20983,10125
1539,20183,10177
1540,19332,10189
1541,19674,10248
1542,20328,10209
1543,21112,10243
1544,21850,10315
1545,22012,10353
1546,21602,10311
1547,21079,10438
1548,20112,10385
1549,19273,10420
1550,18546,10462
1551,18962,10432
1552,19746,10399
1553,20584,10305
1554,20973,10411
1555,21256,10437
1556,20788,10471
1557,20498,10409
1558,19587,10477
1559,19100,10462
1560,18311,10506
1561,18657,10481
1562,19498,10418
1563,20211,10436
1564,20638,10450
1565,20918,10408
1566,20610,10452
1567,20328,10396
1568,19526,10381
1569,18795,10390
1570,17943,10377
1571,18233,10339
1572,18898,10320
1573,19469,10303
1574,19682,10345
1575,19888,10316
1576,19714,10404
1577,19260,10314
1578,18336,10475
1579,17761,10395
1580,16913,10364
1581,17138,10315
1582,17760,10321
1583,18216,10390
1584,18360,10277
1585,18555,10406
1586,18400,10419
1587,17955,10407
1588,17180,10350
1589,16439,10268
1590,15737,10239
1591,15862,10230
1592,16374,10366
1593,16949,10279
1594,17247,10190
1595,17234,10241
1596,17164,10122
1597,16686,10193
1598,16074,10038
1599,15425,9917
1600,14888,9981
1601,15145,9887
1602,15621,9812
1603,16249,9884
1604,16652,9724
1605,16733,9677
1606,16771,9639
1607,16448,9644
1608,15709,9570
1609,15233,9568
1610,14519,9472
1611,14578,9469
1612,14950,9370
1613,15482,9420
1614,15734,9447
1615,15722,9421
1616,15651,9405
1617,15367,9355
1618,14871,9367
1619,14261,9280
1620,13386,9245
1621,13602,9178
1622,13858,9171
1623,14272,9222
1624,14386,9187
1625,14303,9171
1626,14226,9177
1627,13975,9221
1628,13556,9144
1629,12921,9117
1630,12311,8995
1631,12437,8969
1632,12905,8938
1633,13501,8819
1634,13779,8792
1635,13752,8688
1636,13901,8700
1637,13966,8611
1638,13722,8592
1639,13253,8531
1640,12771,8382
1641,13075,8253
1642,13814,8262
1643,14557,8205
1644,14918,8166
1645,14997,8183
1646,15133,8121
1647,15278,8049
1648,15058,8004
1649,14738,7932
1650,14193,7837
1651,14640,7822
1652,15418,7780
1653,16226,7812
1654,16640,7716
1655,16694,7740
1656,16760,7733
1657,16917,7670
1658,16757,7689
1659,16372,7596
1660,15742,7561
1661,16095,7640
1662,16888,7582
1663,17626,7599
1664,18042,7637
1665,18322,7563
1666,18411,7583
